//--------------------------------------------------------------------------
// słowo klucz(x);dopełniacz(1);celownik(2);biernik(3);więcej jeśli trzeba
// przykład {lookup: {0}; Case\Singular; 3}
//--------------------------------------------------------------------------


przemowa lidera;przemowy lidera;przemowie lidera;przemowę lidera
mała rzeźba;małej rzeźby;małej rzeźbie;małą rzeźbę

// Buildings_Exotic.xml
fragment statku (wylesiacz);fragmentu statku (wylesiacz);fragmentowi statku (wylesiacz);fragment statku (wylesiacz)
fragment statku (brzęczyk PSI);fragmentu statku (brzęczyka PSI);fragmentowi statku (brzęczykowi PSI);fragment statku (brzęczyk PSI)
odłamek statku;odłamka statku;odłamkowi statku;odłamek statku

// Buildings_Furniture.xml
fotel;fotela;fotelowi;fotel
śpiwór;śpiwora;śpiworowi;śpiwór
podwójny śpiwór;podwójnego śpiwora;podwójnemu śpiworowi;podwójny śpiwór
stolik nocny;stolika nocnego;stolikowi nocnemu;stolik nocny
regał;regału;regałowi;regał
stołek;stołka;stołkowi;stołek
stół (1x2);stołu (1x2);stołowi (1x2);stół (1x2)
stół (2x2);stołu (2x2);stołowi (2x2);stół (2x2)
stół (2x4);stołu (2x4);stołowi (2x4);stół (2x4)
stół (3x3);stołu (3x3);stołowi (3x3);stół (3x3)
komoda;komody;komodzie;komodę
doniczka;doniczki;doniczce;doniczkę
lampa stojąca;lampy stojącej;lampie stojącej;lampę stojącą
lampa stojąca (niebieska);lampy stojącej (niebieska);lampie stojącej (niebieska);lampę stojącą (niebieska)
lampa stojąca (zielona);lampy stojącej (zielona);lampie stojącej (zielona);lampę stojącą (zielona)
lampa stojąca (czerwona);lampy stojącej (czerwona);lampie stojącej (czerwona);lampę stojącą (czerwona)
lampa słoneczna;lampy słonecznej;lampie słonecznej;lampę słoneczną
pochodnia;pochodni;pochodni;pochodnię
zwierzęce legowisko;zwierzęcego legowiska;zwierzęcemu legowisku;zwierzęce legowisko
pudełko dla zwierząt;pudełka dla zwierząt;pudełkowi dla zwierząt;pudełko dla zwierząt
miejsce snu zwierząt;miejsca snu zwierząt;miejscu snu zwierząt;miejsce snu zwierząt
łóżko;łóżka;łóżku;łóżko
krzesło;krzesła;krzesłu;krzesło
podwójne łóżko;podwójnego łóżka;podwójnemu łóżku;podwójne łóżko
podwójne miejsce snu;podwójnego miejsca snu;podwójnemu miejscu snu;podwójne miejsce snu
łóżko szpitalne;łóżka szpitalnego;łóżku szpitalnemu;łóżko szpitalne
łóżko królewskie;łóżka królewskiego;łóżku królewskiemu;łóżko królewskie
miejsce snu;miejsca snu;miejscu snu;miejsce snu

// Buildings_Joy.xml
stół bilardowy;stołu bilardowego;stołowi bilardowemu;stół bilardowy
stolik szachowy;stolika szachowego;stolikowi szachowemu;stolik szachowy
płaski telewizor;płaskiego telewizora;płaskiemu telewizorowi;płaski telewizor
okrąg do gry w kamienie;okręgu do gry w kamienie;okręgowi do gry w kamienie;okrąg do gry w kamienie
kołek na podkowy;kołka na podkowy;kołkowi na podkowy;kołek na podkowy
telewizor mega-ekranowy;telewizora mega-ekranowego;telewizorowi mega-ekranowemu;telewizor mega-ekranowy
stół do pokera;stołu do pokera;stołowi do pokera;stół do pokera
teleskop;teleskopa;teleskopowi;teleskop
telewizor kineskopowy;telewizora kineskopowego;telewizorowi kineskopowemu;telewizor kineskopowy
plansza do gry z Ur;planszy do gry z Ur;planszy do gry z Ur;planszę do gry z Ur

// Buildings_Misc.xml
grób;grobu;grobowi;grób
geoskaner;geoskanera;geoskanerowi;geoskaner
dalekosiężny skaner minerałów;dalekosiężnego skanera minerałów;dalekosiężnemu skanerowi minerałów
kobierzec ślubny;kobierca ślubnego;kobiercowi ślubnemu;kobierzec ślubny
multianalizer;multianalizera;multianalizerowi;multianalizer
nadajnik handlu orbitalnego;nadajnika handlu orbitalnego;nadajnikowi handlu orbitalnego;nadajnik handlu orbitalnego
znacznik zagrody;znacznika zagrody;znaczkowi zagrody;znacznik zagrody
sarkofag;sarkofagu;sarkofagowi;sarkofag
wielki obelisk;wielkiego obelisku;wielkiemu obeliskowi;wielki obelisk
duży obelisk;dużego obelisku;dużemu obeliskowi;duży obelisk
monitor funkcji życiowych;monitora funkcji życiowych;monitorowi funkcji życiowych;monitor funkcji życiowych
starożytna kapsuła hibernacyjna;starożytnej kapsuły hibernacyjnej;starożytnej kapsule hibernacyjnej;starożytną kapsułę hibernacyjną
konsola łączności;konsoli łączności;konsoli łączności;konsolę łączności
kapsuła hibernacyjna;kapsuły hibernacyjnej;kapsule hibernacyjnej;kapsułę hibernacyjną
pompa wilgoci;pompy wilgoci;pompie wilgoci;pompę wilgoci
wyrzutnia kapsuł;wyrzutni kapsuł;wyrzutni kapsuł;wyrzutnię kapsuł
szafka z narzędziami;szafki z narzędziami;szafce z narzędziami;szafkę z narzędziami
kapsuła transportowa;kapsuły transportowej;kapsule transportowej;kapsułę transportową
miejsce wiązania karawany;miejsca wiązania karawany;miejscu wiązania karawany;miejsce wiązania karawany
pudełko na jaja;pudełka na jaja;pudełku na jaja;pudełko na jaja
urządzenie gaśnicze;urządzenia gaśniczego;urządzeniu gaśniczemu;urządzenie gaśnicze
miejsce imprez;miejsca imprez;miejscu imprez;miejsce imprez

// Buildings_MusicalInstruments.xml
niedokończony instrument muzyczny;niedokończonego instrumentu muzycznego;niedokończonemu instrumentowi muzycznemu;niedokończony instrument muzyczny

// Buildings_Natural.xml
świecący kokon;świecącego kokona;świecącemu kokonowi;świecący kokon
gejzer parowy;gejzera parowego;gejzerowi parowemu;gejzer parowy
sprasowana maszyneria;sprasowanej maszynerii;sprasowanej maszynerii;sprasowaną maszynerię
ruda złota;rudy złota;rudzie złota;rudę złota
ruda jadeitu;rudy jadeitu;rudzie jadeitu;rudę jadeitu
sprasowana superstal;sprasowanej superstali;sprasowanej superstali;sprasowaną superstal
ruda srebra;rudy srebra;rudzie srebra;rudę srebra
sprasowana stal;sprasowanej stali;sprasowanej stali;sprasowaną stal
ruda uranu;rudy uranu;rudzie uranu;rudę uranu
ściana gruzu;ściany gruzy;ścianie gruzu;ścianę gruzu
skalne zapadlisko;skalnego zapadliska;skalnemu zapadlisku;skalne zapadlisko
gniazdo;gniazda;gniazdu;gniazdo

// Buildings_Power.xml
akumulator;akumulatora;akumulatorowi;akumulator
generator na chem-paliwo;generatora na chem-paliwo;generatorowi na chem-paliwo;generator na chem-paliwo
generator geotermalny;generatora geotermalnego;generatorowi geotermalnemu;generator geotermalny
przewód elektryczny;przewodu elektrycznego;przewodowi elektrycznemu;przewód elektryczny
przełącznik;przełącznika;przełącznikowi;przełącznik
generator słoneczny;generatora słonecznego;generatorowi słonecznemu;generator słoneczny
przewód wodoodporny;przewodu wodoodpornego;przewodowi wodoodpornemu;przewód wodoodporny
generator na drewno;generatora na drewno;generatorowi na drewno;generator na drewno
turbina wiatrowa;turbiny wiatrowej;turbinie wiatrowej;turbinę wiatrową
koło wodne;koła wodnego;kołu wodnemu;koło wodne

// Buildings_Production.xml
elektryczny stół krawiecki;elektrycznego stołu krawieckiego;elektrycznemu stołowi krawieckiemu;elektryczny stół krawiecki
stół produkcyjny;stołu produkcyjnego;stołowi produkcyjnemu;stół produkcyjny
piec;pieca;piecu;piec
ręczny stół krawiecki;ręcznego stołu krawieckiego;ręcznemu stołowi krawieckiemu;ręczny stół krawiecki
zbiornik;zbiornika;zbiornikowi;zbiornik
basen hydroponiczny;basenu hydroponicznego;basenowi hydroponicznemu;basen hydroponiczny
dozownik pasty odżywczej;dozownika pasty odżywczej;dozownikowi pasty odżywczej;dozownik pasty odżywczej
stół badawczy;stołu badawczego;stołowi badawczemu;stół badawczy
stół rzeźniczy;stołu rzeźniczego;stołowi rzeźniczemu;stół rzeźniczy
warsztat;warsztatu;warsztatowi;warsztat
stół rzeźbiarski;stołu rzeźbiarskiego;stołowi rzeźbiarskiemu;stół rzeźbiarski
stół kamieniarski;stołu kamieniarskiego;stołowi kamieniarskiemu;stół kamieniarski
rafineria biopaliwa;rafinerii biopaliwa;rafinerii biopaliwa;rafinerię biopaliwa
browarnia;browarni;browarni;browarnię
wiertnica głębinowa;wiertnicy głębinowej;wiertnicy głębinowej;wiertnicę głębinową
huta elektryczna;huty elektrycznej;hucie elektrycznej;hutę elektryczną
kuźnia elektryczna;kuźni elektrycznej;kuźni elektrycznej;kuźnię elektryczną
kuchenka elektryczna;kuchenki elektrycznej;kuchence elektrycznej;kuchenkę elektryczną
beczka fermentacyjna;beczki fermentacyjnej;beczce fermentacyjnej;beczkę fermentacyjną
kuźnia;kuźni;kuźni;kuźnię
miejsce rzeźnicze;miejsca rzeźniczego;miejscu rzeźniczemu;miejsce rzeźnicze
miejsce rzemieślnicze;miejsca rzemieślniczego;miejscu rzemieślniczemu;miejsce rzemieślnicze
laboratorium medyczne;laboratorium medycznego;laboratorium medycznemu;laboratorium medyczne
krematorium elektryczne;krematorium elektrycznego;krematorium elektrycznemu;krematorium elektryczne
laboratorium badawcze;laboratorium badawczego;laboratorium badawczemu;laboratorium badawcze

// Buildings_Security.xml
barykada;barykady;barykadzie;barykadę
pułapkowa głowica antymaterii IED;pułapkowej głowicy antymaterii IED;pułapkowej głowicy antymaterii IED;pułapkową głowicę antymaterii IED
pułapka IED EMP;pułapki IED EMP;pułapce IED EMP;pułapkę IED EMP
pułapka przeciwpożarowa IED;pułapki przeciwpożarowej IED;pułapce przeciwpożarowej IED;pułapkę przeciwpożarową IED
pułapka IED;pułapki IED;pułapce IED;pułapkę IED
pułapka zapalająca IED;pułapki zapalającej IED;pułapce zapalającej IED;pułapkę zapalającą IED
pułapka dymna IED;pułapki dymnej IED;pułapce dymnej IED;pułapkę dymną IED
kolczasta pułapka;kolczastej pułapki;kolczastej pułapce;kolczastą pułapkę
worki z piaskiem;worków z piaskiem;workom z piaskiem;worek z piaskiem

// Buildings_Security_Turrets.xml
moździerz;moździerza;moździerzowi;moździerz
pocisk działa automatycznego;pocisku działa automatycznego;pociskowi działa automatycznego;pocisk działa automatycznego
pocisk mini-wieżyczki;pocisku mini-wieżyczki;pociskowi mini-wieżyczki;pocisk mini-wieżyczki
pocisk uranowy;pocisku uranowego;pociskowi uranowemu;pocisk uranowy
automatyczna wieżyczka;automatycznej wieżyczki;automatycznej wieżyczce;automatyczną wieżyczkę
mini-wieżyczka;mini-wieżyczki;mini-wieżyczce;mini-wieżyczkę
wieżyczka uranowa;wieżyczki uranowej;wieżyczce uranowej;wieżyczkę uranową
działo automatyczne;działa automatycznego;działu automatycznemu;działo automatyczne
działko mini-wieżyczki;działka mini-wieżyczki;działku mini-wieżyczki;działko mini-wieżyczki
działo uranowe;działa uranowego;działu uranowemu;działo uranowe

// Buildings_Ship.xml
rdzeń komputerowy statku;rdzenia komputerowego statku;rdzeniowi komputerowemu statku;rdzeń komputerowy statku
silnik statku;silnika statku;silnikowi statku;silnik statku
reaktor statku;reaktora statku;reaktorowi statku;reaktor statku
moduł czujników;modułu czujnika;modułowi czujnika;moduł czujnika
belka strukturalna statku;belki strukturalnej statku;belce strukturalnej statku;belkę strukturalną statku
kapsuła hibernacyjna statku;kapsuły hibernacyjnej statku;kapsule hibernacyjnej statku;kapsułę hibernacyjną statku

// Buildings_Special.xml
wanometryczny chem-reaktor;wanometrycznego chem-reaktora;wanometrycznemu chem-reaktorze;wanometryczny chem-reaktor
emanator PSI;emanatora PSI;emanatorowi PSI;emanatora PSI
wanometryczne ogniwo zasilające;wanometrycznego ogniwa zasilającego;wanometryczne ogniwo zasilające

// Buildings_Structure.xml
klapa dla zwierząt;klapy dla zwierząt;klapie dla zwierząt;klapę dla zwierząt
kolumna;kolumny;kolumnie;kolumnę
brama ogrodzenia;bramy ogrodzenia;bramie ogrodzenia;bramę ogrodzenia
ściana;ściany;ścianie;ścianę
ogrodzenie;ogrodzenia;ogrodzeniu;ogrodzenie
drzwi automatyczne;drzwi automatycznych;drzwiom automatycznym;drzwi automatyczne
drzwi;drzwi;drzwiom;drzwi

// Buildings_Temperature.xml
klimatyzator;klimatyzatora;klimatyzatorowi;klimatyzator
grzejnik;grzejnika;grzejnikowi;grzejnik
ewaporator;ewaporatora;ewaporatorowi;ewaporator
kratka wentylacyjna;kratki wentylacyjnej;kratce wentylacyjnej;kratkę wentylacyjną
ognisko;ogniska;ognisku;ognisko

// Filth_Various.xml
płyn owodniowy;płynu owodniowego;płynowi owodniowemu;płyn owodniowy
zwierzęcy brud;zwierzęcego brudu;zwierzęcemu brudu;zwierzęcy brud
popiół;popiołu;popiołowi;popiół
płyn ustrojowy;płynu ustrojowego;płynowi ustrojowemu;płyn ustrojowy
brud;brudu;brudowi;brud
gruz budowlany;gruzu budowlanego;gruzowi budowlanemu;gruz budowlany
gruz skalny;gruzu skalnego;gruzowi skalnemu;gruz skalny
piasek;piasku;piaskowi;piasek
szlam;szlamu;szlamowi;szlam
rozrzucony żużel;rozrzuconego żużlu;rozrzuconemu żużlu;rozrzucony żużel
krew;krwi;krwi;krew
wydzielina;wydzieliny;wydzielinie;wydzielinę
piana gaśnicza;piany gaśniczej;pianie gaśniczej;pianę gaśniczą
kałuża chem-paliwa;kałuży chem-paliwa;kałuży chem-paliwa;kałużę chem-paliwa
kałuża wody;kałuży wody;kałuży wody;kałużę wody
włosy;włosów;włosom;włosy
odłamki maszyn;odłamków maszyn;odłamkom maszyn;odłamki maszyn
śmieci;śmieci;śmieciom;śmieci
wymiociny;wymiocin;wymiocinom;wymiociny
rozrzucone worki z piaskiem;rozrzuconych worków z piaskiem;rozrzuconym workom z piaskiem;rozrzucone worki z piaskiem

// Gas_Various.xml
dym;dymu;dymowi;dym

// GoJuice.xml
sok-go;soku-go;soku-go;sok-go

// Hediffs_BodyParts_Archotech.xml
archotyczna noga;archotycznej nogi;archotycznej nodze;archotyczną nogę
archotyczne ramię;archotycznego ramienia;archotycznemu ramieniu;archotyczne ramię
archotyczne oko;archotycznego oka;archotycznemu oku;archotyczne oko

// Hediffs_BodyParts_Bionic.xml
bioniczny kręgosłup;bionicznego kręgosłupa;bionicznemu kręgosłupowi;bioniczny kręgosłup
bioniczny żołądek;bionicznego żołądka;bionicznemu żołądkowi;bioniczny żołądek
bioniczny język;bionicznego języka;bionicznemu językowi;bioniczny język
dezintegrator zwłok;dezintegratora zwłok;dezintegratorowi zwłok
bioniczna noga;bionicznej nogi;bionicznej nodze;bioniczną nogę
bioniczne ramię;bionicznego ramienia;bionicznemu ramieniu;bioniczne ramię
bioniczne ucho;bionicznego ucha;bionicznemu uchu;bioniczne ucho
bioniczne oko;bionicznego oka;bionicznemu oku;bioniczne oko
bioniczne serce;bionicznego serca;bionicznemu sercu;bioniczne serce

// Hediffs_BodyParts_Natural.xml
nerka;nerki;nerce;nerkę
wątroba;wątroby;wątrobie;wątrobę
serce;serca;sercu;serce
płuco;płuca;płucu;płuco

// Hediffs_BodyParts_Prosthetic.xml
implant ślimaka;implantu ślimaka;implantowi ślimaka;implant ślimaka
implant szczęścia;implantu szczęścia;implantowi szczęścia;implant szczęścia
implant antybólowy;implantu antybólowego;implantowi antybólowemu;implant antybólowy
pazur energetyczny;pazura energetycznego;pazurowi energetycznemu;pazur energetyczny
proteza ramienia;protezy ramienia;protezie ramienia;protezę ramienia
proteza serca;protezy serca;protezie serca;protezę serca
proteza nogi;protezy nogi;protezie nogi;protezę nogi

// Items_Artifacts.xml
zwierzęcy pulser PSI;zwierzęcego pulsera PSI;zwierzęcemu pulserowi PSI;zwierzęcy pulser PSI
łagodzący pulser PSI;łagodzącego pulsera PSI;łagodzącemu pulserowi PSI;łagodzący pulser PSI

// Items_Exotic.xml
rdzeń osobowości;rdzenia osobowości;rdzeniowi osobowości;rdzeń osobowości
kieł słonia;kła słonia;kłowi słonia;kieł słonia
technologiczny rdzeń osobowości;technologicznego rdzenia osobowości;technologicznemu rdzeniu osobowości;technologiczny rdzeń osobowości
róg Thrumbo;rogu Thrumbo;rogowi Thrumbo;róg Thrumbo
serum leczące;serum leczącego;serum leczącemu;serum leczące
serum wskrzeszające;serum wskrzeszającego;serum wskrzeszającemu;serum wskrzeszające

// Items_Food.xml
dobry posiłek;dobrego posiłku;dobremu posiłkowi;dobry posiłek
dobry mięsny posiłek;dobrego mięsnego posiłku;dobremu mięsnemu posiłkowi;dobry mięsny posiłek
dobry wegetariański posiłek;dobrego wegetariańskiego posiłku;dobremu wegetariańskiemu posiłkowi
obfity posiłek;obfitego posiłku;obfitemu posiłkowi;obfity posiłek
obfity mięsny posiłek;obfitego mięsnego posiłku;obfitemu mięsnemu posiłkowi;obfity mięsny posiłek
obfity wegetariański posiłek;obfitego wegetariańskiego posiłku;obfitemu wegetariańskiemu posiłkowi;obfity wegetariański posiłek
prosty posiłek;prostego posiłku;prostemu posiłkowi;prosty posiłek
spakowany posiłek surwiwalowy;spakowanego posiłku surwiwalowego;spakowanemu posiłku surwiwalowemu;spakowany posiłek surwiwalowy
pemikan;pemikanu;pemikanowi;pemikan
karma dla zwierząt;karmy dla zwierząt;karmie dla zwierząt;karmę dla zwierząt
pasta odżywcza;pasty odżywczej;paście odżywczej;pastę odżywczą

// Items_Luxury.xml
czekolada;czekolady;czekoladzie;czekoladę

// Items_Resource_AnimalProduct.xml
owadzia galaretka;owadziej galaretki;owadziej galaretce;owadzią galaretkę
jajo kazuara (zapłod.);jaja kazuara (zapłod.);jaju kazuara (zapłod.);jajo kazuara (zapłod.)
kurze jajo (zapłod.);kurzego jaja (zapłod.);kurzemu jaju (zapłod.);kurze jajo (zapłod.)
kurze jajo (niezapłod.);kurzego jaja (niezapłod.);kurzemu jaju (niezapłod.);kurze jajo (niezapłod.)
jajo kobry (zapłod.);jaja kobry (zapłod.);jaju kobry (zapłod.);jajo kobry (zapłod.)
kacze jajo (zapłod.);kaczego jaja (zapłod.);kaczemu jaju (zapłod.);kacze jajo (zapłod.)
kacze jajo (niezapłod.);kaczego jaja (niezapłod.);kaczemu jaju (niezapłod.);kacze jajo (niezapłod.)
jajo emu (zapłod.);jaja emu (zapłod.);jaju emu (zapłod.);jajo emu (zapłod.)
gęsie jajo (zapłod.);gęsiego jaja (zapłod.);gęsiemu jaju (zapłod.);gęsie jajo (zapłod.)
gęsie jajo (niezapłod.);gęsiego jaja (niezapłod.);gęsiemu jaju (niezapłod.);gęsie jajo (niezapłod.)
jajo iguany (zapłod.);jaja iguany (zapłod.);jaju iguany (zapłod.);jajo iguany (zapłod.)
strusie jajo (zapłod.);strusiego jaja (zapłod.);strusiemu jaju (zapłod.);strusie jajo (zapłod.)
żółwie jajo (zapłod.);żółwiego jaja (zapłod.);żółwiemu jaju (zapłod.);żółwie jajo (zapłod.)
indycze jajo (zapłod.);indyczego jaja (zapłod.);indyczemu jaju (zapłod.);indycze jajo (zapłod.)
mleko;mleka;mleku;mleko

// Items_Resource_Manufactured.xml
komponent;komponentu;komponentowi;komponent
zaawansowany komponent;zaawansowanego komponentu;zaawansowanemu komponentowi;zaawansowany komponent
ziołowy zestaw medyczny;ziołowego zestawu medycznego;ziołowemu zestawu medycznemu;ziołowy zestaw medyczny
zestaw medyczny;zestawu medycznego;zestawu medycznemu;zestaw medyczny
zestaw medyczny z glitterworld;zestawu medycznego z glitterworld;zestawu medycznemu z glitterworld;zestaw medyczny z glitterworld
neutroamina;neutroaminy;neutroaminie;neutroaminę
wzmocniona lufa;wzmocnionej lufy;wzmocnionej lufie;wzmocnioną lufę
chem-paliwo;chem-paliwa;chem-paliwu;chem-paliwo

// Items_Resource_RawPlant.xml
owoc agawy;owocu agawy;owocowi agawy;owoc agawy
surowy grzyb;surowego grzyba;surowemu grzybowi;surowy grzyb
chmiel;chmielu;chmielowi;chmiel
ryż;ryżu;ryżowi;ryż
kukurydza;kukurydzy;kukurydzy;kukurydzę
siano;siana;sianu;siano
psychodeliczne liście;psychodelicznych liści;psychodelicznym liściom;psychodeliczne liście
jeżyny;jeżyn;jeżynom;jeżyny
ziemniaki;ziemniaków;ziemniakom;ziemniaki
liście zioła;liści zioła;liściom zioła;liść zioła

// Items_Resource_Shell.xml
pocisk EMP;pocisku EMP;pociskowi EMP;pocisk EMP
pocisk pianki gaśniczej;pocisku pianki gaśniczej;pociskowi pianki gaśniczej;pocisk pianki gaśniczej
pocisk silnie wybuchowy;pocisku silnie wybuchowego;pociskowi silnie wybuchowemu;pocisk silnie wybuchowy
pocisk zapalający;pocisku zapalającego;pociskowi zapalającemu;pocisk zapalający
pocisk dymny;pocisku dymnego;pociskowi dymnemu;pocisk dymny
głowica antymaterii;głowicy antymaterii;głowicy antymaterii;głowicę antymaterii

// Items_Resource_Stuff.xml
hipersplot;hipersplotu;hipersplotowi;hipersplot
jadeit;jadeitu;jadeitowi;jadeit
uran;uranu;uranowi;uran
tkanina;tkaniny;tkaninie;tkaninę
superstal;superstali;superstali;superstal
stal;stali;stali;stal
kłoda;kłody;kłodzie;kłodę
wełna alpaki;wełny alpaki;wełnie alpaki;wełnę alpaki
wełna bizona;wełny bizona;wełnie bizona;wełnę bizona
wełna megaleniwca;wełny megaleniwca;wełnie megaleniwca;wełnę megaleniwca
wełna muffalo;wełny muffalo;wełnie muffalo;wełnę muffalo
wełna owcy;wełny owcy;wełnie owcy;wełnę owcy
włókno z włosaka diabelskiego;włokna z włosaka diabelskiego;włóknu włosaka diabelskiego;włosaka diabelskiego
złoto;złota;złotu;złoto
srebro;srebra;srebru;srebro
włókno syntetyczne;włókna syntetycznego;włóknu syntetycznemu;włókno syntetyczne
drewno;drewna;drewnu;drewno

// Items_Resource_Stuff_Leather.xml
niedźwiedzia skóra;niedźwiedziej skóry;niedźwiedziej skórze;niedźwiedzią skórę
ptasia skóra;ptasiej skóry;ptasiej skórze;ptasią skórę
wielbłądzia skóra;wielbłądziej skóry;wielbłądziej skórze;wielbłądzią skórę
psia skóra;psiej skóry;psiej skórze;psią skórę
skóra ze słonia;skóry ze słonia;skórze ze słonia;skórę ze słonia
ludzka skóra;ludzkiej skóry;ludzkiej skórze;ludzką skórę
lekka skóra;lekkiej skóry;lekkiej skórze;lekką skórę
skóra z jaszczurki;skóry z jaszczurki;skórze z jaszczurki;skórę z jaszczurki
skóra łatana;skóry łatanej;skórze łatanej;skórę łataną
świńska skóra;świńskiej skóry;świńskiej skórze;świńską skórę
zwykła skóra;zwykłej skóry;zwykłej skórze;zwykłą skórę
skóra z nosorożca;skóry z nosorożca;skórze z nosorożca;skórę z nosorożca
wilcza skóra;wilczej skóry;wilczej skórze;wilczą skórę
niebieskawe futro;niebieskawego futra;niebieskawemu futru;niebieskawe futro
futro z szynszyla;futra szynszyla;futru szynszyla;futro szynszyla
lisie futro;lisiego futra;lisiemu futru;lisie futro
futro ze świnki morskiej;futra ze świnki morskiej;futru ze świnki morskiej;futro ze świnki morskiej
ciężkie futro;ciężkiego futra;ciężkiemu futru;ciężkie futro
futro z pantery;futra z pantery;futru z pantery;futro z pantery
futro z Thrumbo;futra z Thrumbo;futru z Thrumbo;futro z Thrumbo

// Items_Unfinished.xml
spakowany obiekt;spakowanego obiektu;spakowanemu obiektowi;spakowany obiekt
niedokończony strój;niedokończonego stroju;niedokończonemu strojowi;niedokończony strój
niedokończony pas;niedokończonego pasa;niedokończonemu pasowi;niedokończony pas
niedokończony komponent;niedokończonego komponentu;niedokończonemu komponentowi;niedokończony komponent
niedokończony pistolet;niedokończonego pistoletu;niedokończonemu pistoletowi;niedokończony pistolet
niedokończony pakiet;niedokończonego pakietu;niedokończonemu pakietowi;niedokończony pakiet
niedokończona prosta zbroja;niedokończonej prostej zbroi;niedokończonej prostej zbroi;niedokończoną prostą zbroję
niedokończona bionika;niedokończonej bioniki;niedokończonej bionice;niedokończoną bionikę
niedokończona proteza;niedokończonej protezy;niedokończonej protezie;niedokończoną protezę
niedokończona metalowa zbroja;niedokończonej metalowej zbroi;niedokończonej metalowej zbroi;niedokończoną metalową zbroję
niedokończona rzeźba;niedokończonej rzeźby;niedokończonej rzeźbie;niedokończoną rzeźbę
niedokończona zaawansowana zbroja;niedokończonej zaawansowanej zbroi;niedokończonej zaawansowanej zbroi;niedokończoną zaawansowaną zbroję
niedokończona broń;niedokończonej broni;niedokończonej broni;niedokończoną broń
zminimalizowane drzewo;zminimalizowanego drzewa;zminimalizowanemu drzewu;zminimalizowane drzewo

// Luciferium.xml
lucyferium;lucyferium;lucyferium;lucyferium

// MeleeMedieval.xml
gladius;gladiusa;gladiusowi;gladius
miecz dwuręczny;miecza dwuręcznego;mieczu dwuręcznemu;miecz dwuręczny
buława;buławy;buławie;buławę

// MeleeNeolithic.xml
